"Campaign name","Campaign ID","Ad set name","Ad set ID","Ad name","Ad ID",Platform,Placement,"Conversion device","Delivery status","Delivery level",Reach,Impressions,Frequency,"Attribution setting","Result type",Results,"Amount spent (USD)","Video ID","Image name","Video name","Website URL",call_to_action_type,headline,Description,"Link clicks","CPC (cost per link click)","CPM (cost per 1,000 impressions)","CTR (all)","Result rate",Views,"Clicks (all)","CPC (all)","Purchases rate per link clicks","Landing page views rate per link clicks","Result value type","Results value","Result value type","Results ROAS","Cost per 1,000 Meta Accounts reached","Ad Delivery","Video average play time","Video plays at 25%","Video plays at 50%","Video plays at 75%","Video plays at 95%","Video plays at 100%","Page engagement","Facebook likes","Instagram follows","Post comments","Post engagements","Post reactions","Post saves","Post shares",ThruPlays,"Video plays","3-second video plays","Unique link clicks","Outbound clicks","Unique outbound clicks","Unique CTR (link click-through rate)","Outbound CTR (click-through rate)","Unique outbound CTR (click-through rate)","Unique clicks (all)","Unique CTR (all)","Instagram profile visits","Cost per outbound click","Cost per unique link click","Cost per unique outbound click","Cost per unique click (all)","Adds of payment info","Adds to cart","Cost per add to cart","Adds to cart conversion value","Checkouts initiated","Cost per checkout initiated","Checkouts initiated conversion value",Purchases,"Cost per purchase","Purchase ROAS (return on ad spend)","Purchases conversion value","Reporting starts","Reporting ends"
"Prospecting Static CBO",120244285703060327,Broad_Pack1,120244285703070327,"Maddie Holding",120244294591870327,instagram,Feed,iphone,inactive,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,0,,,https://eastcoastartstudio.com/products/costa-rica-tropical-print-costa-rica?_pos=1&_psq=costa+rica&_ss=e&_v=1.0,SHOP_NOW,{{product.name}},,3,,,,,,,,,,,,,,,inactive,,,,,,,5,,,,5,1,,1,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,2026-01-01,2026-07-09
"Prospecting Static CBO",120244285703060327,Broad_Pack1,120244285703070327,"Maddie Holding",120244294591870327,instagram,Feed,android_smartphone,inactive,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,0,,,https://eastcoastartstudio.com/products/costa-rica-tropical-print-costa-rica?_pos=1&_psq=costa+rica&_ss=e&_v=1.0,SHOP_NOW,{{product.name}},,1,,,,,,,,,,,,,,,inactive,,,,,,,1,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,2026-01-01,2026-07-09
"Prospecting Static CBO",120244285703060327,Broad_Pack1,120244285703070327,"Maddie Holding",120244294591870327,instagram,Feed,0,inactive,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,0,,,https://eastcoastartstudio.com/products/costa-rica-tropical-print-costa-rica?_pos=1&_psq=costa+rica&_ss=e&_v=1.0,SHOP_NOW,{{product.name}},,,,,,,,,,,,,,,,,inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2026-01-01,2026-07-09
"Prospecting Static CBO",120244285703060327,Broad_Pack1,120244285703070327,"Maddie Holding",120244294591870327,facebook,Feed,iphone,inactive,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,0,,,https://eastcoastartstudio.com/products/costa-rica-tropical-print-costa-rica?_pos=1&_psq=costa+rica&_ss=e&_v=1.0,SHOP_NOW,{{product.name}},,1,,,,,,,,,,,,,,,inactive,,,,,,,3,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-01,2026-07-09
"Prospecting Static CBO",120244285703060327,Broad_Pack1,120244285703070327,"Maddie Holding",120244294591870327,facebook,Feed,0,inactive,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,0,,,https://eastcoastartstudio.com/products/costa-rica-tropical-print-costa-rica?_pos=1&_psq=costa+rica&_ss=e&_v=1.0,SHOP_NOW,{{product.name}},,,,,,,,,,,,,,,,,inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2026-01-01,2026-07-09
"Prospecting Static CBO",120244285703060327,Broad_Pack1,120244285703070327,"Maddie Holding",120244294591870327,facebook,"Facebook Reels",android_smartphone,inactive,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,0,,,https://eastcoastartstudio.com/products/costa-rica-tropical-print-costa-rica?_pos=1&_psq=costa+rica&_ss=e&_v=1.0,SHOP_NOW,{{product.name}},,1,,,,,,,,,,,,,,,inactive,,,,,,,1,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,2026-01-01,2026-07-09
"Prospecting Static CBO",120244285703060327,Broad_Pack1,120244285703070327,"Maddie Holding",120244294591870327,instagram,"Instagram Stories",iphone,inactive,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,0,,,https://eastcoastartstudio.com/products/costa-rica-tropical-print-costa-rica?_pos=1&_psq=costa+rica&_ss=e&_v=1.0,SHOP_NOW,{{product.name}},,1,,,,,,,,,,,,,,,inactive,,,,,,,1,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,2026-01-01,2026-07-09
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 2 - Best Gift",120247312792440327,"2 Print + Dads Gift",120247312792540327,facebook,Feed,iphone,not_delivering,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,0,,,https://eastcoastartstudio.com/collections/best-sellers,SHOP_NOW,{{product.name}},,2,,,,,,,,,,,,,,,not_delivering,,,,,,,2,,,,2,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,2026-01-01,2026-07-09
"Prospecting Static CBO",120244285703060327,"Broad_Pack3 - May 9",120244619377280327,"9 Image + Discount",120244629176600327,instagram,Feed,android_smartphone,not_delivering,ad,,,,Incremental,,,,0,,,https://eastcoastartstudio.com/collections/best-sellers,SHOP_NOW,{{product.name}},,2,,,,,,,,,,,,,,,not_delivering,,,,,,,2,,,,2,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,2026-01-01,2026-07-09
"Prospecting Static CBO",120244285703060327,"Broad_Pack3 - May 9",120244619377280327,"9 Image + Discount",120244629176600327,threads,"Threads feed",ipad,not_delivering,ad,,,,Incremental,,,,0,,,https://eastcoastartstudio.com/collections/best-sellers,SHOP_NOW,{{product.name}},,1,,,,,,,,,,,,,,,not_delivering,,,,,,,1,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,2026-01-01,2026-07-09
"Prospecting Static CBO",120244285703060327,"Broad_Pack3 - May 9",120244619377280327,"9 Image + Discount",120244629176600327,threads,"Threads feed",iphone,not_delivering,ad,,,,Incremental,,,,0,,,https://eastcoastartstudio.com/collections/best-sellers,SHOP_NOW,{{product.name}},,2,,,,,,,,,,,,,,,not_delivering,,,,,,,2,,,,2,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,2026-01-01,2026-07-09
"Prospecting Static CBO",120244285703060327,"Broad_Pack3 - May 9",120244619377280327,"9 Image + Discount",120244629176600327,facebook,"Search results",iphone,not_delivering,ad,,,,Incremental,,,,0,,,https://eastcoastartstudio.com/collections/best-sellers,SHOP_NOW,{{product.name}},,6,,,,,,,,,,,,,,,not_delivering,,,,,,,6,,,,6,,,,,,,,6,6,,,,,,,,,,,,,,,,,,,,,,2026-01-01,2026-07-09
